County,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Liberty,16918,19017,19489,21690,22258,22425,23625,25249,19645,23988,21684,22350,20663,21939,23234,23717,22408,23733,20104,22334
Lincoln,2417,2596,2643,2542,2437,2331,2250,2378,2497,2316,2650,2426,2473,3006,2785,2987,3198,3070,2354,2721
Long,2461,2762,2886,3338,3461,3225,3436,3283,3709,5783,5526,5752,6018,6399,6872,6441,6326,6470,5472,6271
Lowndes,20516,26206,28364,29029,30298,30834,45277,48356,47003,49157,50932,51446,47253,39608,35249,37562,45309,48071,40820,51091
Lumpkin,8336,9015,9372,9673,9393,9352,10195,9099,8946,11411,12796,11110,11515,11384,12025,11273,9801,10764,10471,12027
McDuffie,8861,8961,9110,9331,9507,9434,9943,11197,11345,10716,11582,10907,11594,12423,12349,12700,12521,12221,9054,10503
McIntosh,3762,4012,4055,4173,4528,4500,4696,4782,4949,4589,4751,4744,4550,4579,4741,4641,4734,4595,3636,3852
Macon,5992,4785,7705,7581,6905,6539,5884,6280,6915,6625,6848,5600,5057,4990,4373,4661,4685,5089,3794,4494
Madison,5110,9006,8939,10063,9676,10511,10527,11187,10936,11062,11508,11839,11699,12220,12656,12189,12322,12689,9897,11081
Marion,1875,2415,1887,2057,1980,1733,2071,2421,2523,2214,1945,2484,2536,2319,2429,2411,2413,2889,2109,2308
Meriwether,8479,8035,7003,9320,9193,9889,8664,10738,10461,10920,12996,11851,12299,12395,12269,11802,12097,12420,10071,10978
Miller,2340,606,739,2320,2003,4072,4167,4560,3865,4368,4303,3906,3067,3529,3941,3370,3206,3120,2535,2864
Mitchell,11635,11317,10694,12953,13337,12613,8926,8510,11245,10123,9645,13431,14411,14125,14077,14498,14087,15400,12286,13327
Monroe,9211,9987,10010,11078,11154,11572,11759,12313,11069,9406,9067,8599,9898,10917,11542,11754,11628,12567,10643,10637
Montgomery,3687,3983,4219,4017,4382,3897,4205,4699,3959,3992,3817,3897,3737,4113,4123,3698,3545,4205,3327,3993
Morgan,4900,5738,6063,4646,7197,7555,7986,8268,7502,8201,8952,7852,9975,9917,9665,10125,9748,10292,8530,9591
Murray,6494,10434,18090,19506,19555,19475,22376,23317,22657,23245,20713,19206,20327,20389,23436,24682,23743,24891,19306,20818
Muscogee,74018,73936,68528,72042,69915,70417,72573,74818,78540,72973,67063,75530,83530,82183,88276,97712,96725,104222,82403,89095
Newton,27641,29533,28338,32409,35418,34852,38589,41227,42038,42324,50092,48218,49080,50318,50008,50698,51452,52077,40338,44494
Oconee,3985,5617,5855,6341,6485,6610,6673,6601,6939,6739,7176,7554,7902,7526,7766,7685,7209,7657,6258,7187
Oglethorpe,1858,3660,3621,4421,4133,4309,4687,4940,5129,4781,5083,5551,6011,6149,6336,6380,6053,6605,4995,5408
Paulding,36214,36459,37518,41519,45138,47164,49574,54131,54994,56762,60520,59589,63644,66051,67838,65633,65802,69216,52229,61206
Peach,10937,11394,11046,10984,12611,15497,12517,14972,15434,14017,13781,14023,13901,13538,13848,14370,13837,13688,10582,11569
Pickens,9619,10659,9582,9693,11626,11496,12142,13581,13731,13948,14584,13384,15352,16429,17108,16837,15931,16215,12507,13078
Pierce,6072,6561,7010,6976,7162,8056,9283,9657,9892,9604,10737,10201,9860,9181,8966,9233,10334,10959,8760,9106
Pike,3970,4810,4617,5174,5409,5416,5171,5534,5055,6350,6820,6099,6713,6457,6285,5916,6218,6339,5238,5448
Polk,24901,26703,27007,27629,27866,29041,29573,29892,31683,32945,33503,33071,33674,33116,33546,35494,34411,33660,27226,31376
Pulaski,4873,4977,4814,5473,5326,5059,5130,5352,4855,3850,3785,3893,4364,4382,4284,4054,3850,4083,3244,3644
Putnam,8315,8925,8306,8976,9070,9222,8429,9952,9881,10506,11792,11520,12482,13552,13776,13758,13909,13749,11254,12291
Quitman,232,305,254,260,290,236,280,320,312,286,224,204,176,201,203,186,186,172,123,131
Rabun,6647,6489,6298,6903,6718,6878,7586,7736,7155,6194,7310,5803,5326,6334,6973,5893,7449,7566,6423,7251
Randolph,3512,4263,4844,5221,4878,4960,4965,5234,5347,5436,5484,5160,4925,4746,4570,4845,4339,4562,3029,1166
Richmond,92739,96569,91610,97736,97235,82214,98088,103178,104853,101686,106794,105851,107055,110833,113814,108332,110332,107757,81742,87273
Rockdale,20902,21742,21846,25075,26351,21772,25130,27959,28666,28554,33731,34291,35965,37485,37627,37807,38105,37728,28362,29447
Schley,1313,1298,1392,1460,1743,1465,1672,1685,1662,1647,1849,1730,1814,1344,1181,1388,1285,1542,1208,1293
Screven,6568,6703,6786,7604,8221,8324,8795,8570,8058,5606,5633,5485,6811,8111,9228,9342,10155,10291,8751,9437
Seminole,3523,2674,3497,4177,4032,4294,4488,3837,3518,3907,4129,3727,3477,3811,3868,3874,3926,3915,3093,3577
Spalding,17551,26676,25052,29350,32738,31422,31449,32168,22846,38115,38662,37059,39238,40919,39528,38965,37372,38937,32197,32861
Stephens,14040,14051,13685,15390,15682,16420,16458,16877,16044,15765,14235,11332,11068,15094,15376,15154,15430,15946,12041,13125
Stewart,2498,2609,1481,2756,2534,1235,1093,2324,2938,2771,1943,1481,1783,1624,1514,1666,1813,1835,1417,1403
Sumter,15727,16762,15600,15867,16357,13205,17209,17078,17840,16866,18987,19749,18735,15233,12414,12705,13626,15708,11753,12446
Talbot,2386,2049,2026,2315,2246,2331,2279,2466,2423,2585,2942,3061,3148,3106,3026,2927,3094,3119,2483,2697
Taliaferro,632,714,858,754,814,730,721,811,770,738,843,749,871,982,1091,1132,1213,1159,891,850
Tattnall,10581,11071,11846,13378,12990,12412,11130,12788,12482,8058,8899,8972,9540,11158,11285,11849,12817,13608,11036,12536
Taylor,3382,3396,3702,3484,4001,4303,3980,4357,4412,3986,4330,4093,4073,4005,4091,3908,4123,4023,3078,3233
Telfair,6270,6567,6216,6849,7060,6471,5292,5803,4894,4434,5204,4637,4647,5351,5421,5198,5354,5289,4361,4553
Terrell,4063,3780,3495,3501,3495,3480,3699,4121,4520,4373,3806,4350,4294,4165,2726,2581,2620,3341,2369,2290
Thomas,17949,18112,17732,18705,18081,16797,16627,17197,14868,18830,17775,20767,20329,20168,20205,19919,21990,23948,18235,18619
Tift,20530,22002,22460,24778,24658,23199,24423,26778,26405,26360,27379,27890,11311,4726,18045,20806,20342,20194,14948,15215
Toombs,12778,13995,14925,17060,17921,17491,18057,19517,17644,17195,16386,16766,16343,17668,18261,15367,14571,17821,14224,15628
Towns,3896,4306,3438,4401,3991,4390,4981,4201,4990,4754,5107,4810,2897,4218,5550,5680,5534,5446,4322,4459
Treutlen,1811,2048,2144,2274,2516,2248,2404,2888,2865,2701,2753,2608,2903,3319,3386,3349,3228,3511,2854,3123
Troup,19310,23170,13361,25647,28731,34817,38053,43233,46125,45596,50188,47290,46094,46086,47286,46127,43913,44472,35367,41422
Turner,3942,3853,3930,3992,4334,4153,4272,4633,4539,4317,5048,5308,2794,1801,3960,4229,4056,4180,2985,3315
Twiggs,2986,3404,3440,3507,3705,3500,3100,3434,3485,3505,4057,4092,3975,4203,4210,4495,4458,4388,3458,3292
Union,6559,7556,7261,7576,7667,8282,8596,8773,9040,9093,10444,9867,5421,9382,11121,10881,10697,11338,9163,9601
Upson,15187,15535,14986,18478,19386,17431,17080,18541,19134,19209,20262,19322,19809,18720,18430,15409,18803,18576,15300,16314
Walker,16008,16085,15621,15478,15713,1512,15927,18558,19268,19242,20889,20179,18311,16361,16248,16560,14929,14848,8554,13508
Walton,24365,25815,27069,26288,30595,31653,33992,37684,38233,35965,40932,40208,42900,44802,44194,43410,40804,43623,36349,40377
Ware,16557,17488,17597,18188,18069,20041,22150,23491,23218,24568,26780,25513,24803,22927,22918,23157,26592,27262,21604,21739
Warren,2165,2285,2277,2527,2370,2348,2496,2685,2783,2628,3004,2756,3010,3081,2963,2931,3144,2901,2401,2656
Washington,1686,1645,1525,1541,1992,9274,8871,10177,10972,10560,10283,9910,10068,10595,11387,12088,11925,10574,8377,7999
Wayne,9844,11794,13856,14565,13223,12996,14249,4910,19529,20100,20383,19897,18372,17339,17460,16320,16517,16521,14109,14388
Webster,954,912,606,757,790,412,438,756,887,852,639,744,942,825,723,737,781,901,680,772
Wheeler,3359,3303,3097,2680,3092,1560,1846,3040,1868,2174,2336,1939,1989,2490,2553,2288,2445,2423,1947,2053
White,7328,7814,8455,8433,8926,9425,9769,10018,9780,10882,11952,10745,11190,11054,11292,10902,10508,10895,8786,9717
Whitfield,28180,28781,30516,31209,31580,32201,36772,40248,42359,43632,46152,41869,42912,41854,41609,42406,39783,39211,29398,30798
Wilcox,3344,3494,3690,3814,3625,3600,3615,3426,3118,2714,3078,3186,3097,3365,3528,3629,3227,3387,2549,2763
Wilkes,4016,4205,4991,4731,4280,4505,4276,4905,4878,4732,4628,4075,4322,5294,5649,5840,6143,5615,4649,5128
Wilkinson,3821,3717,3203,3619,3585,3987,3699,3982,3931,4060,4366,4113,4457,4343,4842,4690,4782,4797,3498,3629
Worth,10608,8409,11649,12232,12560,12387,12507,12877,14180,13190,12878,12284,12314,12423,12356,12025,12245,13110,9677,10531
,,,,,,,,,,,,,,,,,,,,
